timestamp,ds,y,Temperatur_C,Windstaerke _km_h,Wochentag,Monate,dunkel,Regen,Schnee,Gewitter,GlÃ¤tte,ferien,feiertag
2019-07-31T00:00,2019-07-31 00:00,69,9,30,2,7,2,3,0,0,0,1,0
2019-07-31T01:00,2019-07-31 01:00,54,9,30,2,7,2,3,0,0,0,1,0
2019-07-31T02:00,2019-07-31 02:00,35,8,30,2,7,2,3,0,0,0,1,0
2019-07-31T03:00,2019-07-31 03:00,14,8,30,2,7,2,3,0,0,0,1,0
2019-07-31T04:00,2019-07-31 04:00,20,8,30,2,7,2,3,0,0,0,1,0
2019-07-31T05:00,2019-07-31 05:00,76,8,30,2,7,2,3,0,0,0,1,0
2019-07-31T06:00,2019-07-31 06:00,250,8,30,2,7,0,3,0,0,0,1,0
2019-07-31T07:00,2019-07-31 07:00,587,9,30,2,7,0,3,0,0,0,1,0
2019-07-31T08:00,2019-07-31 08:00,683,10,30,2,7,0,3,0,0,0,1,0
2019-07-31T09:00,2019-07-31 09:00,569,11,30,2,7,0,3,0,0,0,1,0
2019-07-31T10:00,2019-07-31 10:00,532,12,30,2,7,0,3,0,0,0,1,0
2019-07-31T11:00,2019-07-31 11:00,679,13,30,2,7,0,3,0,0,0,1,0
2019-07-31T12:00,2019-07-31 12:00,728,13,30,2,7,0,3,0,0,0,1,0
2019-07-31T13:00,2019-07-31 13:00,698,13,30,2,7,0,3,0,0,0,1,0
2019-07-31T14:00,2019-07-31 14:00,737,14,30,2,7,0,3,0,0,0,1,0
2019-07-31T15:00,2019-07-31 15:00,730,14,30,2,7,0,3,0,0,0,1,0
2019-07-31T16:00,2019-07-31 16:00,619,13,30,2,7,0,3,0,0,0,1,0
2019-07-31T17:00,2019-07-31 17:00,827,12,30,2,7,0,3,0,0,0,1,0
2019-07-31T18:00,2019-07-31 18:00,787,12,30,2,7,0,3,0,0,0,1,0
2019-07-31T19:00,2019-07-31 19:00,596,10,30,2,7,0,3,0,0,0,1,0
2019-07-31T20:00,2019-07-31 20:00,326,9,30,2,7,0,3,0,0,0,1,0
2019-07-31T21:00,2019-07-31 21:00,342,8,30,2,7,0,3,0,0,0,1,0
2019-07-31T22:00,2019-07-31 22:00,262,7,30,2,7,2,3,0,0,0,1,0
2019-07-31T23:00,2019-07-31 23:00,145,6,30,2,7,2,3,0,0,0,1,0
